id;ticker;name;index_id;exchange_id;fb_page;tw_name;tw_search_name;;other_tw_name;tw_name has other lang than AJ;fb page other lang
417;HOT;Starwood Hotels & Resorts;1;;starwood;StarwoodBuzz;Starwood Hotels;;;;
418;STT;State Street Corp.;1;;;statestreet;state street corp;;;;
419;SRCL;Stericycle Inc;1;;stericycle;Stericycle_Inc;Stericycle;;;;
420;SYK;Stryker Corp.;1;;;Stryker_Jobs;Stryker Corp.;;;;
421;STI;SunTrust Banks;1;;suntrust;suntrust;SunTrust;;;;
422;SYMC;Symantec Corp.;1;;Symantec;symantec;Symantec;;;;
423;SYY;Sysco Corp.;1;;;Sysco;Sysco;;;;
424;TROW;T. Rowe Price Group;1;;troweprice;TRowePrice;T. Rowe Price;;;;
425;TGT;Target Corp.;1;;target;Target_Corp;Target corp;;;;
426;TEL;TE Connectivity Ltd.;1;;;TEConnectivity;TE Connectivity;;;;
427;TE;TECO Energy;1;;;TECOEnergy;TECO Energy;;;;
